TURANY,DATE,Y2013,RA2013,14DA2013,Y2014,RA2014,14DA2014,Y2015,RA2015,14DA2015,Y2016,RA2016,14DA2016,Y2017,RA2017,14DA2017,Y2018,RA2018,14DA2018,Y2019,RA2019,14DA2019,Y2020,RA2020,14DA2020,Y2021,RA2021,14DA2021,Y2022,RA2022,14DA2022,Y2023,RA2023,14DA2023
11723099999,3/1/13,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0.46,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0.02,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
11723099999,3/2/13,0,NaN,NaN,0,NaN,NaN,0.01,NaN,NaN,0.06,NaN,NaN,0.04,NaN,NaN,NaN,NaN,NaN,0.02,NaN,NaN,0.56,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
11723099999,3/3/13,0,NaN,NaN,0,NaN,NaN,0.21,NaN,NaN,0.04,NaN,NaN,0.02,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0.04,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
11723099999,3/4/13,0,0,NaN,0.01,0.004285714,NaN,0.01,0.032857143,NaN,0.22,0.117142857,NaN,0,0.037142857,NaN,0,0.015,NaN,0.01,0.005,NaN,0.12,0.125714286,NaN,0,0.054285714,NaN,0,0,NaN,0,0,NaN
11723099999,3/5/13,0,0,NaN,0.02,0.004285714,NaN,0,0.032857143,NaN,0,0.074285714,NaN,0,0.037142857,NaN,0,0.015,NaN,0,0.004285714,NaN,0,0.122857143,NaN,0.19,0.054285714,NaN,0,0,NaN,0,0,NaN
11723099999,3/6/13,0,0,NaN,0,0.004285714,NaN,0,0.031428571,NaN,0.03,0.131428571,NaN,0.16,0.045714286,NaN,0.03,0.012857143,NaN,0,0.001428571,NaN,0,0.042857143,NaN,0.19,0.054285714,NaN,0,0,NaN,0,0.002857143,NaN
11723099999,3/7/13,0,0.018571429,0.010714286,0,0.004285714,0.002142857,0,0.001428571,0.032142857,0.01,0.125714286,0.102857143,0.04,0.061428571,0.035,0.06,0.012857143,0.008461538,0,0.017142857,0.042307692,0.14,0.037142857,0.066428571,0,0.054285714,0.037857143,0,0,0,0,0.004285714,0.003571429
11723099999,3/8/13,0,0.018571429,0.010714286,0,0.002857143,0.002142857,0,0,0.047142857,0.16,0.094285714,0.077142857,0,0.061428571,0.035,0,0.012857143,0.008461538,0,0.065714286,0.043571429,0,0.022857143,0.065,0,0.054285714,0.037857143,0,0,0,0,0.007142857,0.006428571
11723099999,3/9/13,0,0.018571429,0.010714286,0,0,0.012857143,0,0.03,0.046428571,0.46,0.094285714,0.072857143,0.1,0.061428571,0.032142857,0,0.012857143,0.009285714,0,0.074285714,0.056428571,0,0.024285714,0.025,0,0.048571429,0.040769231,0,0,0.017857143,0.02,0.007142857,0.006428571
11723099999,3/10/13,0.13,0.018571429,0.010714286,0,0,0.012857143,0,0.031428571,0.031428571,0,0.09,0.07,0.13,0.038571429,0.030714286,0,0.011428571,0.025,0.11,0.074285714,0.057142857,0,0.027142857,0.022142857,0,0.021428571,0.040769231,0,0,0.017857143,0.01,0.007142857,0.006428571
