Znojmo,DATE,Y2013,RA2013,14DA2013,Y2014,RA2014,14DA2014,Y2015,RA2015,14DA2015,Y2016,RA2016,14DA2016,Y2017,RA2017,14DA2017,Y2018,RA2018,14DA2018,Y2019,RA2019,14DA2019,Y2020,RA2020,14DA2020,Y2021,RA2021,14DA2021,Y2022,RA2022,14DA2022,Y2023,RA2023,14DA2023
11698099999,3/1/13,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0.46,NaN,NaN,0.04,NaN,NaN,0.01,NaN,NaN,0.01,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
11698099999,3/2/13,0,NaN,NaN,0,NaN,NaN,0.07,NaN,NaN,0.01,NaN,NaN,0.02,NaN,NaN,0.01,NaN,NaN,0.1,NaN,NaN,0.43,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
11698099999,3/3/13,0,NaN,NaN,0,NaN,NaN,0.13,NaN,NaN,0.02,NaN,NaN,0,NaN,NaN,0.04,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
11698099999,3/4/13,0,0,NaN,0,0.004285714,NaN,0,0.028571429,NaN,0.11,0.085714286,NaN,0,0.017142857,NaN,0,0.038571429,NaN,0,0.022857143,NaN,0.04,0.095714286,NaN,0,0.042857143,NaN,0,0.001428571,NaN,0,0,NaN
11698099999,3/5/13,0,0,NaN,0.03,0.004285714,NaN,0,0.028571429,NaN,0,0.038571429,NaN,0,0.018571429,NaN,0,0.037142857,NaN,0,0.021428571,NaN,0,0.095714286,NaN,0.17,0.042857143,NaN,0,0.001428571,NaN,0,0,NaN
11698099999,3/6/13,0,0,NaN,0,0.004285714,NaN,0,0.018571429,NaN,0,0.05,NaN,0,0.025714286,NaN,0.06,0.035714286,NaN,0.05,0.007142857,NaN,0.15,0.034285714,NaN,0.13,0.042857143,NaN,0.01,0.001428571,NaN,0,0.002857143,NaN
11698099999,3/7/13,0,0.004285714,0.010714286,0,0.004285714,0.002142857,0,0,0.032857143,0,0.047142857,0.058571429,0.06,0.031428571,0.02,0.15,0.031428571,0.022857143,0,0.011428571,0.031428571,0.05,0.034285714,0.050714286,0,0.042857143,0.026428571,0,0.001428571,0.000714286,0,0.002857143,0.002142857
11698099999,3/8/13,0,0.004285714,0.010714286,0,0.004285714,0.002142857,0,0,0.042142857,0.13,0.031428571,0.033571429,0.05,0.031428571,0.017142857,0,0.031428571,0.022142857,0,0.044285714,0.035714286,0,0.03,0.050714286,0,0.042857143,0.028571429,0,0.001428571,0.000714286,0,0.002857143,0.003571429
11698099999,3/9/13,0,0.004285714,0.019285714,0,0,0.009285714,0,0.032857143,0.037142857,0.09,0.031428571,0.037857143,0.07,0.031428571,0.015714286,0,0.031428571,0.024285714,0,0.047142857,0.043571429,0,0.032857143,0.02,0,0.028571429,0.028571429,0,0.001428571,0.007142857,0.02,0.002857143,0.003571429
11698099999,3/10/13,0.03,0.004285714,0.019285714,0,0,0.009285714,0,0.032857143,0.027857143,0,0.031428571,0.036428571,0.04,0.031428571,0.015714286,0.01,0.028571429,0.033571429,0.03,0.04,0.045,0,0.012857143,0.02,0,0.01,0.028571429,0,0,0.007142857,0,0.002857143,0.003571429
